Date,Hour,Rank,Topic,Volume
2019-01-02,19:09,7,-,0
2019-01-02,19:09,8,-,0
2019-01-02,19:09,9,-,0
2019-01-02,19:09,10,-,0
2019-01-02,19:35,1,#TheMaskedSinger,59.751
2019-01-02,19:35,2,#grownish,25.182
2019-01-02,19:35,3,#LHHMIA,0
2019-01-02,19:35,4,#BlackInkCHI,0
2019-01-02,19:35,5,Daryl Dragon,13.224
2019-01-02,19:35,6,#Catfish,0
2019-01-02,19:35,7,jalen smith,0
2019-01-02,19:35,8,Super Dave,41.028
2019-01-02,19:35,9,Nick Ward,0
2019-01-02,19:35,10,Nets,0
2019-01-02,20:05,1,#TheMaskedSinger,87.340
2019-01-02,20:05,2,#grownish,26.022
2019-01-02,20:05,3,#BlackInkCHI,0
2019-01-02,20:05,4,#LHHMIA,0
2019-01-02,20:05,5,Marcus Smart,0
2019-01-02,20:05,6,Daryl Dragon,13.997
2019-01-02,20:05,7,#Catfish,0
2019-01-02,20:05,8,Gordon Hayward,0
2019-01-02,20:05,9,Super Dave,42.117
2019-01-02,20:05,10,Nets,0
2019-01-02,20:30,1,#TheMaskedSinger,95.197
2019-01-02,20:30,2,#Grownish,26.714
2019-01-02,20:30,3,Gordon Hayward,0
2019-01-02,20:30,4,#BlackInkCHI,0
2019-01-02,20:30,5,#LHHMIA,0
2019-01-02,20:30,6,marcus smart,0
2019-01-02,20:30,7,Daryl Dragon,14.641
2019-01-02,20:30,8,#Catfish,0
2019-01-02,20:30,9,Paris Hilton,0
2019-01-02,20:30,10,Nets,0
2019-01-02,20:59,1,#TheMaskedSinger,102.263
2019-01-02,20:59,2,Gordon Hayward,0
2019-01-02,20:59,3,#grownish,27.213
2019-01-02,20:59,4,#BlackInkCHI,0
2019-01-02,20:59,5,#LHHMIA,10.602
2019-01-02,20:59,6,#RHONJ,0
2019-01-02,20:59,7,Marcus Smart,0
2019-01-02,20:59,8,Daryl Dragon,15.369
2019-01-02,20:59,9,Nets,0
2019-01-02,20:59,10,Jamie Benn,0
2019-01-02,21:35,1,#TheMaskedSinger,108.924
2019-01-02,21:35,2,Paul George,0
2019-01-02,21:35,3,Gordon Hayward,0
2019-01-02,21:35,4,#grownish,27.828
2019-01-02,21:35,5,#StrangeSafeWords,0
2019-01-02,21:35,6,#LHHMIA,11.147
2019-01-02,21:35,7,#BlackInkCHI,0
2019-01-02,21:35,8,Marcus Smart,0
2019-01-02,21:35,9,Lonzo,0
2019-01-02,21:35,10,Daryl Dragon,16.117
2019-01-02,22:04,1,Coachella,128.413
2019-01-02,22:04,2,#TheMaskedSinger,114.244
2019-01-02,22:04,3,Paul George,0
2019-01-02,22:04,4,Lance,42.782
2019-01-02,22:04,5,Gordon Hayward,0
2019-01-02,22:04,6,Tame Impala,0
2019-01-02,22:04,7,#StrangeSafeWords,0
2019-01-02,22:04,8,#grownish,28.270
2019-01-02,22:04,9,Lonzo,0
2019-01-02,22:04,10,#BlackInkCHI,0
2019-01-02,22:29,1,Coachella,192.030
2019-01-02,22:29,2,#TheMaskedSinger,119.268
2019-01-02,22:29,3,Paul George,10.073
2019-01-02,22:29,4,Lance,47.791
2019-01-02,22:29,5,Westbrook,17.402
2019-01-02,22:29,6,Gordon Hayward,0
2019-01-02,22:29,7,#StrangeSafeWords,0
2019-01-02,22:29,8,#grownish,28.557
2019-01-02,22:29,9,Lonzo,0
2019-01-02,22:29,10,Ingram,0
2019-01-02,23:00,1,Coachella,247.637
2019-01-02,23:00,2,#TheMaskedSinger,124.882
2019-01-02,23:00,3,Paul George,10.926
2019-01-02,23:00,4,Westbrook,19.877
2019-01-02,23:00,5,Lance,50.968
2019-01-02,23:00,6,Josh Hart,0
2019-01-02,23:00,7,Gordon Hayward,0
2019-01-02,23:00,8,#StrangeSafeWords,0
2019-01-02,23:00,9,#Grownish,28.813
2019-01-02,23:00,10,The Lakers,15.358
2019-01-02,23:34,1,Coachella,304.595
2019-01-02,23:34,2,#TheMaskedSinger,129.748
2019-01-02,23:34,3,Paul George,13.939
2019-01-02,23:34,4,Lance,52.923
2019-01-02,23:34,5,Terrance Ferguson,0
2019-01-02,23:34,6,Josh Hart,0
2019-01-02,23:34,7,The Lakers,17.580
2019-01-02,23:34,8,Kuzma,0
2019-01-02,23:34,9,Gordon Hayward,0
2019-01-02,23:34,10,#StrangeSafeWords,0
2019-01-03,00:00,1,Coachella,335.130
2019-01-03,00:00,2,#TheMaskedSinger,132.432
2019-01-03,00:00,3,Paul George,14.565
2019-01-03,00:00,4,Lonzo,15.701
2019-01-03,00:00,5,Terrance Ferguson,0
2019-01-03,00:00,6,Lance,54.254
2019-01-03,00:00,7,Josh Hart,0
2019-01-03,00:00,8,The Lakers,18.258
2019-01-03,00:00,9,Luke Walton,0
2019-01-03,00:00,10,Kuzma,0
2019-01-03,00:35,1,Coachella,370.290
2019-01-03,00:35,2,#TheMaskedSinger,135.911
2019-01-03,00:35,3,Paul George,15.230
2019-01-03,00:35,4,Lonzo,16.212
2019-01-03,00:35,5,Terrance Ferguson,0
2019-01-03,00:35,6,Josh Hart,0
2019-01-03,00:35,7,Lance,54.948
2019-01-03,00:35,8,The Lakers,18.648
2019-01-03,00:35,9,luke walton,0
2019-01-03,00:35,10,#StrangeSafeWords,0
2019-01-03,01:00,1,Coachella,393.594
2019-01-03,01:00,2,#TheMaskedSinger,137.818
2019-01-03,01:00,3,Paul George,15.582
2019-01-03,01:00,4,Terrance Ferguson,0
2019-01-03,01:00,5,Josh Hart,0
2019-01-03,01:00,6,Tyson Chandler,0
2019-01-03,01:00,7,Luke Walton,0
2019-01-03,01:00,8,#StrangeSafeWords,0
2019-01-03,01:00,9,Kuzma,0
2019-01-03,01:00,10,Gordon Hayward,0
2019-01-03,01:31,1,coachella,419.467
2019-01-03,01:31,2,#TheMaskedSinger,139.854
2019-01-03,01:31,3,Paul George,16.021
2019-01-03,01:31,4,Terrance Ferguson,0
2019-01-03,01:31,5,Josh Hart,0
2019-01-03,01:31,6,Tyson Chandler,0
2019-01-03,01:31,7,#StrangeSafeWords,0
2019-01-03,01:31,8,Kuzma,0
2019-01-03,01:31,9,Gordon Hayward,0
2019-01-03,01:31,10,Steven Adams,0
2019-01-03,02:00,1,Coachella,442.159
2019-01-03,02:00,2,#TheMaskedSinger,142.140
2019-01-03,02:00,3,Paul George,16.336
2019-01-03,02:00,4,Ingram,17.981
2019-01-03,02:00,5,Terrance Ferguson,0
2019-01-03,02:00,6,Josh Hart,0
2019-01-03,02:00,7,#StrangeSafeWords,0
2019-01-03,02:00,8,Kuzma,0
2019-01-03,02:00,9,Gordon Hayward,0
2019-01-03,02:00,10,Steven Adams,0
2019-01-03,02:31,1,Coachella,462.461
2019-01-03,02:31,2,Paul George,16.619
2019-01-03,02:31,3,Brandon Ingram,0
2019-01-03,02:31,4,Tame Impala,17.751
2019-01-03,02:31,5,Josh Hart,0
2019-01-03,02:31,6,The Lakers,19.250
2019-01-03,02:31,7,#StrangeSafeWords,0
2019-01-03,02:31,8,Kyle Kuzma,0
2019-01-03,02:31,9,Lance Stephenson,0
2019-01-03,02:31,10,Steven Adams,0
2019-01-03,03:06,1,Coachella,484.682
2019-01-03,03:06,2,Paul George,16.867
2019-01-03,03:06,3,Tame Impala,18.298
